EVENT_ID  ISSUE_ID  TYPE        CREATION_DATE           ACTOR            TITLE

​ 4020135916 45037 | renamed | 2020-11-20T10:07:11Z | wanghao0225 | tensorflow version 2.2.0 ;question:WARNING:tensorflow:6 out of the last 11 calls to <function Model.make_predict_function.<locals>.predict_function at 0x0000023B864321F8> triggered tf.function retracing. Tracing is expensive and the excessive number of tracings is likely due to passing python objects instead of tensors. Also, tf.function has experimental_relax_shapes=True option that relaxes argument shapes that can avoid unnecessary retracing. Please refer to https://www.tensorflow.org/tutorials/customization/performance#python_or_tensor_args and https://www.tensorflow.org/api_docs/python/tf/function for more details.
​ 4013860083 44104 | unlabeled | 2020-11-19T04:03:32Z | tensorflow-butler[bot] | Avoid doing reset when position is still in buffer in BufferedInputStream.
​ 4013825098 45001 | renamed | 2020-11-19T03:45:22Z | Macaque2077 | Error when trying to build from source on on CUDA 11 & Cudnn 8
​ 4013789670 44983 | unassigned | 2020-11-19T03:26:51Z | ravikyram | tf.image.per_image_standardization unexpected behavior with unsigned integer input
​ 4013789510 44983 | assigned | 2020-11-19T03:26:45Z | rmothukuru | tf.image.per_image_standardization unexpected behavior with unsigned integer input
​ 4013788519 44983 | unlabeled | 2020-11-19T03:26:14Z | ravikyram | tf.image.per_image_standardization unexpected behavior with unsigned integer input
​ 4013787991 45001 | assigned | 2020-11-19T03:25:57Z | amahendrakar | Error when trying to build from source on on CUDA 11 & Cudnn 8
​ 4013787912 45001 | labeled | 2020-11-19T03:25:55Z | Macaque2077 | Error when trying to build from source on on CUDA 11 & Cudnn 8
​ 4013774090 43610 | subscribed | 2020-11-19T03:19:17Z | annarev | [PluggableDevice] Add pluggable device load mechanism 
​ 4013774089 43610 | mentioned | 2020-11-19T03:19:17Z | annarev | [PluggableDevice] Add pluggable device load mechanism 
​ 4013774086 43610 | subscribed | 2020-11-19T03:19:17Z | jzhoulon | [PluggableDevice] Add pluggable device load mechanism 
​ 4013774085 43610 | mentioned | 2020-11-19T03:19:17Z | jzhoulon | [PluggableDevice] Add pluggable device load mechanism 
​ 4013774082 43610 | subscribed | 2020-11-19T03:19:17Z | fchollet | [PluggableDevice] Add pluggable device load mechanism 
​ 4013774080 43610 | mentioned | 2020-11-19T03:19:17Z | fchollet | [PluggableDevice] Add pluggable device load mechanism 
​ 4013765512 44983 | subscribed | 2020-11-19T03:15:33Z | ravikyram | tf.image.per_image_standardization unexpected behavior with unsigned integer input
​ 4013765503 44983 | mentioned | 2020-11-19T03:15:33Z | ravikyram | tf.image.per_image_standardization unexpected behavior with unsigned integer input
​ 4013758031 44735 | unlabeled | 2020-11-19T03:12:32Z | kokoro-team | [TFLite] Disable the unfolding of the BatchMatMulOp for 16-bit inference
​ 4013757491 44977 | labeled | 2020-11-19T03:12:19Z | ravikyram | What is the difference between two data generation methods？
​ 4013757489 44977 | labeled | 2020-11-19T03:12:19Z | ravikyram | What is the difference between two data generation methods？
​ 4013756938 44977 | subscribed | 2020-11-19T03:12:01Z | lalalapotter | What is the difference between two data generation methods？
​ 4013756934 44977 | mentioned | 2020-11-19T03:12:01Z | lalalapotter | What is the difference between two data generation methods？
​ 4013756281 44735 | labeled | 2020-11-19T03:11:42Z | tensorflow-butler[bot] | [TFLite] Disable the unfolding of the BatchMatMulOp for 16-bit inference
​ 4013756280 44735 | labeled | 2020-11-19T03:11:42Z | tensorflow-butler[bot] | [TFLite] Disable the unfolding of the BatchMatMulOp for 16-bit inference
​ 4013756251 44735 | moved_columns_in_project | 2020-11-19T03:11:41Z | abattery | [TFLite] Disable the unfolding of the BatchMatMulOp for 16-bit inference
​ 4013753668 44879 | subscribed | 2020-11-19T03:10:16Z | clo-dan | TensorFlowLiteSelectTfOps: Interpreter creation fails on iOS when scheme is set to Release
​ 4013753667 44879 | mentioned | 2020-11-19T03:10:16Z | clo-dan | TensorFlowLiteSelectTfOps: Interpreter creation fails on iOS when scheme is set to Release
​ 4013744875 44976 | closed | 2020-11-19T03:06:03Z | DachuanZhao | ```tf.distribute.MirroredStrategy``` is stuck.
​ 4013735947 44947 | subscribed | 2020-11-19T03:01:49Z | ymodak | How to save a TensorFlow model to use in ML.NET
​ 4013735940 44947 | mentioned | 2020-11-19T03:01:49Z | ymodak | How to save a TensorFlow model to use in ML.NET
​ 4013714913 45000 | labeled | 2020-11-19T02:51:45Z | google-cla[bot] | Softnms
​ 4013714796 45000 | labeled | 2020-11-19T02:51:41Z | tensorflow-butler[bot] | Softnms
​ 4013714755 45000 | subscribed | 2020-11-19T02:51:40Z | mingxingtan | Softnms
​ 4013714752 45000 | mentioned | 2020-11-19T02:51:40Z | mingxingtan | Softnms
​ 4013710420 44735 | subscribed | 2020-11-19T02:49:42Z | Tessil | [TFLite] Disable the unfolding of the BatchMatMulOp for 16-bit inference
​ 4013710417 44735 | mentioned | 2020-11-19T02:49:41Z | Tessil | [TFLite] Disable the unfolding of the BatchMatMulOp for 16-bit inference
​ 4013706420 44983 | labeled | 2020-11-19T02:47:53Z | ravikyram | tf.image.per_image_standardization unexpected behavior with unsigned integer input
​ 4012604377 44339 | unlabeled | 2020-11-18T20:27:04Z | ymodak | Tensorflow auto killed my training processing.
​ 4012604112 44339 | unlabeled | 2020-11-18T20:27:00Z | ymodak | Tensorflow auto killed my training processing.
​ 4012597333 44079 | comment_deleted | 2020-11-18T20:25:09Z | tensorflow | Getting errors when converting a simple convs model to INT8 TFLite
​ 4012596433 44079 | comment_deleted | 2020-11-18T20:24:54Z | tensorflow | Getting errors when converting a simple convs model to INT8 TFLite
​ 4012579898 44990 | assigned | 2020-11-18T20:20:19Z | ravikyram | tf-gpu 2.3.1 get initial low accuracy compare to tf-gpu 2.1
​ 4012579798 44990 | labeled | 2020-11-18T20:20:17Z | zzhulm | tf-gpu 2.3.1 get initial low accuracy compare to tf-gpu 2.1
​ 4012460647 38704 | subscribed | 2020-11-18T19:49:13Z | talumbau | [TFLite] Fully quantize the uint8 concatenation kernel to make it pure integer
​ 4012460641 38704 | mentioned | 2020-11-18T19:49:12Z | talumbau | [TFLite] Fully quantize the uint8 concatenation kernel to make it pure integer
​ 4012450173 38704 | unlabeled | 2020-11-18T19:46:28Z | tensorflow-butler[bot] | [TFLite] Fully quantize the uint8 concatenation kernel to make it pure integer
​ 4012432249 44579 | closed | 2020-11-18T19:41:54Z | tensorflow-butler[bot] | Floating-point models
​ 4012416231 42425 | subscribed | 2020-11-18T19:37:34Z | k-w-w | Convert savedmodel to h5 Keras format - AttributeError: 'AutoTrackable' object has no attribute 'summary'
​ 4012416221 42425 | mentioned | 2020-11-18T19:37:34Z | k-w-w | Convert savedmodel to h5 Keras format - AttributeError: 'AutoTrackable' object has no attribute 'summary'
​ 4012374791 44917 | subscribed | 2020-11-18T19:26:50Z | yhliang2018 | Slowdown training LSTM on TensorFlow 2.4+
​ 4012374787 44917 | mentioned | 2020-11-18T19:26:50Z | yhliang2018 | Slowdown training LSTM on TensorFlow 2.4+
​ 4012374783 44917 | subscribed | 2020-11-18T19:26:50Z | misberner | Slowdown training LSTM on TensorFlow 2.4+
​ 4012374778 44917 | mentioned | 2020-11-18T19:26:50Z | misberner | Slowdown training LSTM on TensorFlow 2.4+
​ 4012365788 44917 | subscribed | 2020-11-18T19:24:29Z | schien1729 | Slowdown training LSTM on TensorFlow 2.4+
​ 4012365783 44917 | mentioned | 2020-11-18T19:24:29Z | schien1729 | Slowdown training LSTM on TensorFlow 2.4+
​ 4012365780 44917 | subscribed | 2020-11-18T19:24:29Z | zredlined | Slowdown training LSTM on TensorFlow 2.4+
​ 4012365779 44917 | mentioned | 2020-11-18T19:24:29Z | zredlined | Slowdown training LSTM on TensorFlow 2.4+
​ 4012365773 44917 | subscribed | 2020-11-18T19:24:29Z | misberner | Slowdown training LSTM on TensorFlow 2.4+
​ 4012365772 44917 | mentioned | 2020-11-18T19:24:29Z | misberner | Slowdown training LSTM on TensorFlow 2.4+
​ 4012358229 44974 | labeled | 2020-11-18T19:22:26Z | ymodak | Error LNK2005 when linking in debug mode.
​ 4012352404 44918 | subscribed | 2020-11-18T19:20:54Z | edgarbc | Problems to convert a tensorflow model to TFLite
​ 4012352402 44918 | mentioned | 2020-11-18T19:20:53Z | edgarbc | Problems to convert a tensorflow model to TFLite
​ 4012335627 44985 | subscribed | 2020-11-18T19:16:32Z | dlibenzi | xrt ops use bfc_allocator instead
​ 4012335623 44985 | mentioned | 2020-11-18T19:16:32Z | dlibenzi | xrt ops use bfc_allocator instead
​ 4012290159 44549 | subscribed | 2020-11-18T19:04:29Z | buchgr | Add use_default_shell_env = True to all ctx.actions.run_shell rules
​ 4012290146 44549 | mentioned | 2020-11-18T19:04:29Z | buchgr | Add use_default_shell_env = True to all ctx.actions.run_shell rules
​ 4012259759 43900 | head_ref_force_pushed | 2020-11-18T18:56:48Z | DEKHTIARJonathan | [TF-TRT] Cast now supports more conversions if TRT >= 7.0.0.11
​ 4012246576 44960 | subscribed | 2020-11-18T18:53:44Z | ravikyram | Avoid call to cuCtxSynchronize() when moving from graph execution to eager execution
​ 4012246573 44960 | mentioned | 2020-11-18T18:53:44Z | ravikyram | Avoid call to cuCtxSynchronize() when moving from graph execution to eager execution
​ 4012246568 44960 | subscribed | 2020-11-18T18:53:44Z | golden0080 | Avoid call to cuCtxSynchronize() when moving from graph execution to eager execution
​ 4012246562 44960 | mentioned | 2020-11-18T18:53:44Z | golden0080 | Avoid call to cuCtxSynchronize() when moving from graph execution to eager execution
​ 4012212156 44504 | unlabeled | 2020-11-18T18:45:00Z | kokoro-team | Replace the COMPUTE_FTRL macro with a templated function; NFC
​ 4012208622 44504 | labeled | 2020-11-18T18:44:10Z | tensorflow-butler[bot] | Replace the COMPUTE_FTRL macro with a templated function; NFC
​ 4012208617 44504 | labeled | 2020-11-18T18:44:10Z | tensorflow-butler[bot] | Replace the COMPUTE_FTRL macro with a templated function; NFC
​ 4012208577 44504 | moved_columns_in_project | 2020-11-18T18:44:09Z | chsigg | Replace the COMPUTE_FTRL macro with a templated function; NFC
​ 4012204287 44530 | unlabeled | 2020-11-18T18:43:01Z | kokoro-team | [ROCm] Fix for ROCm CSB breakage - 201102
​ 4012200969 44530 | labeled | 2020-11-18T18:42:11Z | tensorflow-butler[bot] | [ROCm] Fix for ROCm CSB breakage - 201102
​ 4012200968 44530 | labeled | 2020-11-18T18:42:11Z | tensorflow-butler[bot] | [ROCm] Fix for ROCm CSB breakage - 201102
​ 4012200934 44530 | moved_columns_in_project | 2020-11-18T18:42:10Z | chsigg | [ROCm] Fix for ROCm CSB breakage - 201102
​ 4012200041 44438 | closed | 2020-11-18T18:41:55Z | tensorflow-butler[bot] | Tensorflow: TFLiteConverter (Saved Model -> TFLite) in SSD_mobilenet_v2_2
​ 4012198956 44968 | moved_columns_in_project | 2020-11-18T18:41:37Z | advaitjain | TFLu: Move Ethos-U custom op out of AllOpsResolver
​ 4012198105 44989 | assigned | 2020-11-18T18:41:23Z | amahendrakar | ValueError: Cannot feed value of shape (1, 384, 513, 3) for Tensor
​ 4012197998 44989 | labeled | 2020-11-18T18:41:22Z | sailokeshaithagoni | ValueError: Cannot feed value of shape (1, 384, 513, 3) for Tensor
​ 4012124386 44917 | assigned | 2020-11-18T18:23:04Z | sun51 | Slowdown training LSTM on TensorFlow 2.4+
​ 4012124088 44917 | assigned | 2020-11-18T18:22:59Z | yhliang2018 | Slowdown training LSTM on TensorFlow 2.4+
​ 4012105666 44884 | subscribed | 2020-11-18T18:18:34Z | vnvo2409 | tf.io.gfile can read but can't write file 
​ 4012105664 44884 | mentioned | 2020-11-18T18:18:34Z | vnvo2409 | tf.io.gfile can read but can't write file 
​ 4012101457 41163 | head_ref_deleted | 2020-11-18T18:17:31Z | mihaimaruseac | Update version numbers for TensorFlow 2.3.0-rc1
​ 4012101452 37582 | head_ref_deleted | 2020-11-18T18:17:31Z | mihaimaruseac | Update version numbers for TensorFlow 2.2.0-rc1
​ 4012101450 34246 | head_ref_deleted | 2020-11-18T18:17:31Z | mihaimaruseac | Update release notes for TensorFlow 2.1.0
​ 4012101449 41498 | head_ref_deleted | 2020-11-18T18:17:31Z | mihaimaruseac | Update version numbers for TensorFlow 2.3.0-rc2
​ 4012101448 34244 | head_ref_deleted | 2020-11-18T18:17:31Z | mihaimaruseac | Update release notes for TensorFlow 2.1.0
​ 4012101446 37321 | head_ref_deleted | 2020-11-18T18:17:31Z | mihaimaruseac | Update version numbers for TensorFlow 2.2.0-rc0
​ 4012101444 44859 | head_ref_deleted | 2020-11-18T18:17:31Z | mihaimaruseac | Update version numbers for TensorFlow 2.4.0-rc2
​ 4012101443 32789 | head_ref_deleted | 2020-11-18T18:17:31Z | mihaimaruseac | Update version numbers for TensorFlow 1.15.0-rc2
​ 4012101442 44662 | head_ref_deleted | 2020-11-18T18:17:31Z | mihaimaruseac | Update version numbers for TensorFlow 2.4.0-rc1
​ 4012101441 37879 | head_ref_deleted | 2020-11-18T18:17:31Z | mihaimaruseac | Update version numbers for TensorFlow 2.2.0-rc2
​ 4012101440 34249 | head_ref_deleted | 2020-11-18T18:17:31Z | mihaimaruseac | Update version numbers for TensorFlow 2.1.0-rc0
​ 4012100699 31861 | head_ref_deleted | 2020-11-18T18:17:20Z | mihaimaruseac | Update release notes for TensorFlow 1.15.0
​ 4012078248 44518 | reopened | 2020-11-18T18:11:55Z | ckkuang | Some variables are not restored only when MirroredStragy is used.
​ 4012063268 22466 | subscribed | 2020-11-18T18:08:12Z | nrgopalrao | Unable to use TFOptimizer from keras in tensorflow
​ 4012063258 22466 | mentioned | 2020-11-18T18:08:12Z | nrgopalrao | Unable to use TFOptimizer from keras in tensorflow
​ 4012061235 43610 | unlabeled | 2020-11-18T18:07:42Z | kokoro-team | [PluggableDevice] Add pluggable device load mechanism 
​ 4012057814 43610 | labeled | 2020-11-18T18:06:52Z | tensorflow-butler[bot] | [PluggableDevice] Add pluggable device load mechanism 
​ 4012057809 43610 | labeled | 2020-11-18T18:06:52Z | tensorflow-butler[bot] | [PluggableDevice] Add pluggable device load mechanism 
​ 4012054823 44947 | subscribed | 2020-11-18T18:06:09Z | Oceania2018 | How to save a TensorFlow model to use in ML.NET
​ 4012054822 44988 | assigned | 2020-11-18T18:06:09Z | Saduf2019 | keras model fit with ragged tensors fails in LossesContainer.__call__
​ 4012054819 44947 | mentioned | 2020-11-18T18:06:08Z | Oceania2018 | How to save a TensorFlow model to use in ML.NET
​ 4012054668 44988 | labeled | 2020-11-18T18:06:07Z | pedro-r-marques | keras model fit with ragged tensors fails in LossesContainer.__call__
​ 4012052365 43623 | subscribed | 2020-11-18T18:05:33Z | bhack | Tensorflow 2.3 CUDNN - Detected cudnn out-of-bounds write in convolution buffer!  + GPU Sync Failed
​ 4012052362 43623 | mentioned | 2020-11-18T18:05:33Z | bhack | Tensorflow 2.3 CUDNN - Detected cudnn out-of-bounds write in convolution buffer!  + GPU Sync Failed
​ 4012052357 43623 | subscribed | 2020-11-18T18:05:33Z | cheshire | Tensorflow 2.3 CUDNN - Detected cudnn out-of-bounds write in convolution buffer!  + GPU Sync Failed
​ 4012052353 43623 | mentioned | 2020-11-18T18:05:33Z | cheshire | Tensorflow 2.3 CUDNN - Detected cudnn out-of-bounds write in convolution buffer!  + GPU Sync Failed
​ 4012033276 44987 | assigned | 2020-11-18T18:01:00Z | ravikyram | Necessity of "strategy.run" and "distribute_datasets_from_function" for ParameterServers
​ 4012009968 44571 | assigned | 2020-11-18T17:55:59Z | ymodak | TFRecordWriter create in parent process can't work properly in child process
​ 4012009952 44571 | unassigned | 2020-11-18T17:55:59Z | amahendrakar | TFRecordWriter create in parent process can't work properly in child process
​ 4012009024 44571 | labeled | 2020-11-18T17:55:47Z | amahendrakar | TFRecordWriter create in parent process can't work properly in child process
​ 4012009023 44571 | unlabeled | 2020-11-18T17:55:47Z | amahendrakar | TFRecordWriter create in parent process can't work properly in child process
​ 4012006501 44807 | unlabeled | 2020-11-18T17:55:11Z | kokoro-team | [curl_http_request] fix wrong option for starttransfer_time_status
​ 4012005616 44971 | labeled | 2020-11-18T17:54:59Z | jvishnuvardhan | Flexbuffers patching causing -Wnull-dereference
​ 4012005307 44971 | assigned | 2020-11-18T17:54:54Z | petewarden | Flexbuffers patching causing -Wnull-dereference
​ 4012005297 44971 | unassigned | 2020-11-18T17:54:54Z | jvishnuvardhan | Flexbuffers patching causing -Wnull-dereference
​ 4012003308 44807 | labeled | 2020-11-18T17:54:23Z | tensorflow-butler[bot] | [curl_http_request] fix wrong option for starttransfer_time_status
​ 4012003304 44807 | labeled | 2020-11-18T17:54:23Z | tensorflow-butler[bot] | [curl_http_request] fix wrong option for starttransfer_time_status
​ 4012003255 44807 | moved_columns_in_project | 2020-11-18T17:54:23Z | mihaimaruseac | [curl_http_request] fix wrong option for starttransfer_time_status
​ 4011995392 44986 | assigned | 2020-11-18T17:52:29Z | amahendrakar | Resource exhausted error when running tf.keras.Model.predict on large tensor
​ 4011995248 44986 | labeled | 2020-11-18T17:52:27Z | lminer | Resource exhausted error when running tf.keras.Model.predict on large tensor
​ 4011983652 43900 | subscribed | 2020-11-18T17:49:47Z | bixia1 | [TF-TRT] Cast now supports more conversions if TRT >= 7.0.0.11
​ 4011983648 43900 | mentioned | 2020-11-18T17:49:47Z | bixia1 | [TF-TRT] Cast now supports more conversions if TRT >= 7.0.0.11
​ 4011928171 44789 | subscribed | 2020-11-18T17:40:50Z | EliZucker | TF Lite Micro : Hosted Model: "Didn't find op for builtin opcode 'SQUEEZE'"
​ 4011928169 44789 | mentioned | 2020-11-18T17:40:50Z | EliZucker | TF Lite Micro : Hosted Model: "Didn't find op for builtin opcode 'SQUEEZE'"
​ 4011923590 44789 | unlabeled | 2020-11-18T17:39:59Z | advaitjain | TF Lite Micro : Hosted Model: "Didn't find op for builtin opcode 'SQUEEZE'"
​ 4011923212 44789 | labeled | 2020-11-18T17:39:53Z | advaitjain | TF Lite Micro : Hosted Model: "Didn't find op for builtin opcode 'SQUEEZE'"
​ 4011914660 44591 | labeled | 2020-11-18T17:37:57Z | amahendrakar | BUG!! tf.keras.model.summary() output is wrong
​ 4011914293 44591 | subscribed | 2020-11-18T17:37:51Z | nityansuman | BUG!! tf.keras.model.summary() output is wrong
​ 4011914287 44591 | mentioned | 2020-11-18T17:37:51Z | nityansuman | BUG!! tf.keras.model.summary() output is wrong
​ 4011908837 31092 | subscribed | 2020-11-18T17:36:37Z | NALanhnt2 | Tensorflow-lite gpu ios memory leak
​ 4013366003 44949 | closed | 2020-11-19T00:15:54Z | copybara-service[bot] | Fix small typos
​ 4013365995 44949 | merged | 2020-11-19T00:15:54Z | copybara-service[bot] | Fix small typos
​ 4013365975 44949 | referenced | 2020-11-19T00:15:53Z | copybara-service[bot] | Fix small typos
​ 4013347818 44447 | subscribed | 2020-11-19T00:08:13Z | River707 | Compiler Test cases with tf-mlir-translate pass/crash with specific build flag on s390x architecture
​ 4013347814 44447 | mentioned | 2020-11-19T00:08:13Z | River707 | Compiler Test cases with tf-mlir-translate pass/crash with specific build flag on s390x architecture
​ 4013347810 44447 | subscribed | 2020-11-19T00:08:13Z | smit-hinsu | Compiler Test cases with tf-mlir-translate pass/crash with specific build flag on s390x architecture
​ 4013347805 44447 | mentioned | 2020-11-19T00:08:13Z | smit-hinsu | Compiler Test cases with tf-mlir-translate pass/crash with specific build flag on s390x architecture
​ 4013316230 44996 | subscribed | 2020-11-18T23:56:13Z | stellaraccident | I strongly suspect that we are going to want a dedicated tosa-opt of some form eventually, but we don't need to start there if it is not convenient. We will eventually have a dedicated/minimal binary for importing from TFLite Flatbuffers at least, and I'm keeping an eye on how we can keep the build boundaries sufficient to meet that end.
​ 4013316227 44996 | mentioned | 2020-11-18T23:56:12Z | stellaraccident | I strongly suspect that we are going to want a dedicated tosa-opt of some form eventually, but we don't need to start there if it is not convenient. We will eventually have a dedicated/minimal binary for importing from TFLite Flatbuffers at least, and I'm keeping an eye on how we can keep the build boundaries sufficient to meet that end.
​ 4013312145 44996 | assigned | 2020-11-18T23:54:29Z | amahendrakar | I strongly suspect that we are going to want a dedicated tosa-opt of some form eventually, but we don't need to start there if it is not convenient. We will eventually have a dedicated/minimal binary for importing from TFLite Flatbuffers at least, and I'm keeping an eye on how we can keep the build boundaries sufficient to meet that end.
​ 4013312102 44996 | subscribed | 2020-11-18T23:54:28Z | stellaraccident | I strongly suspect that we are going to want a dedicated tosa-opt of some form eventually, but we don't need to start there if it is not convenient. We will eventually have a dedicated/minimal binary for importing from TFLite Flatbuffers at least, and I'm keeping an eye on how we can keep the build boundaries sufficient to meet that end.
​ 4013312101 44996 | mentioned | 2020-11-18T23:54:28Z | stellaraccident | I strongly suspect that we are going to want a dedicated tosa-opt of some form eventually, but we don't need to start there if it is not convenient. We will eventually have a dedicated/minimal binary for importing from TFLite Flatbuffers at least, and I'm keeping an eye on how we can keep the build boundaries sufficient to meet that end.
​ 4013308784 44995 | assigned | 2020-11-18T23:52:56Z | Saduf2019 | TF_RegisterLogListener in C API does not seem to work
​ 4013308700 44995 | labeled | 2020-11-18T23:52:54Z | gehlhaarPfizer | TF_RegisterLogListener in C API does not seem to work
​ 4013306592 44947 | labeled | 2020-11-18T23:52:06Z | ymodak | How to save a TensorFlow model to use in ML.NET
​ 4013305691 44947 | subscribed | 2020-11-18T23:51:46Z | hjoshuaj | How to save a TensorFlow model to use in ML.NET
​ 4013305686 44947 | mentioned | 2020-11-18T23:51:46Z | hjoshuaj | How to save a TensorFlow model to use in ML.NET
​ 4013303071 44880 | moved_columns_in_project | 2020-11-18T23:50:48Z | copybara-service[bot] | Change tf_upgrade_v2 to be compatible with tf1 and tf2 for tf.nn.dropout
​ 4013303008 44880 | closed | 2020-11-18T23:50:46Z | copybara-service[bot] | Change tf_upgrade_v2 to be compatible with tf1 and tf2 for tf.nn.dropout
​ 4013302996 44880 | merged | 2020-11-18T23:50:46Z | copybara-service[bot] | Change tf_upgrade_v2 to be compatible with tf1 and tf2 for tf.nn.dropout
​ 4013302954 44880 | referenced | 2020-11-18T23:50:45Z | copybara-service[bot] | Change tf_upgrade_v2 to be compatible with tf1 and tf2 for tf.nn.dropout
​ 4013287507 44970 | referenced | 2020-11-18T23:44:31Z | bhack | Why tf.data.Dataset.map() still unknown TensorShape?
​ 4013287306 44994 | labeled | 2020-11-18T23:44:26Z | google-cla[bot] | Doc py_function unknown shape
​ 4013287207 44994 | labeled | 2020-11-18T23:44:23Z | tensorflow-butler[bot] | Doc py_function unknown shape
​ 4013277426 40171 | subscribed | 2020-11-18T23:40:16Z | goldiegadde | Memory leak when repeatedly loading and deleting keras models
​ 4013277424 40171 | mentioned | 2020-11-18T23:40:16Z | goldiegadde | Memory leak when repeatedly loading and deleting keras models
​ 4013261310 44946 | labeled | 2020-11-18T23:33:51Z | ymodak | ValueError: Shapes (None, 1) and (None, 10) are incompatible
​ 4013258514 42082 | subscribed | 2020-11-18T23:32:54Z | msokoloff1 | QAT conversion RuntimeError: Quantization not yet supported for op: 'DEQUANTIZE' issue with tf-nightly
​ 4013258513 42082 | mentioned | 2020-11-18T23:32:54Z | msokoloff1 | QAT conversion RuntimeError: Quantization not yet supported for op: 'DEQUANTIZE' issue with tf-nightly
​ 4013254721 44518 | subscribed | 2020-11-18T23:31:31Z | ckkuang | Some variables are not restored only when MirroredStragy is used.
​ 4013254719 44518 | mentioned | 2020-11-18T23:31:31Z | ckkuang | Some variables are not restored only when MirroredStragy is used.
​ 4013249493 44747 | labeled | 2020-11-18T23:29:48Z | rthadur | [PluggableDevice]Add kernel and stream executor c api extension
​ 4013249111 44747 | unlabeled | 2020-11-18T23:29:41Z | rthadur | [PluggableDevice]Add kernel and stream executor c api extension
​ 4013246883 44504 | labeled | 2020-11-18T23:28:59Z | rthadur | Replace the COMPUTE_FTRL macro with a templated function; NFC
​ 4013245760 44504 | unlabeled | 2020-11-18T23:28:38Z | rthadur | Replace the COMPUTE_FTRL macro with a templated function; NFC
​ 4013241476 44992 | unlabeled | 2020-11-18T23:27:05Z | kokoro-team | [Cherrypick:r2.4] add per_replica support for keras
​ 4013231064 44992 | labeled | 2020-11-18T23:23:46Z | geetachavan1 | [Cherrypick:r2.4] add per_replica support for keras
​ 4013231062 44992 | unlabeled | 2020-11-18T23:23:46Z | geetachavan1 | [Cherrypick:r2.4] add per_replica support for keras
​ 4013229890 44992 | labeled | 2020-11-18T23:23:25Z | geetachavan1 | [Cherrypick:r2.4] add per_replica support for keras
​ 4013197870 44993 | review_requested | 2020-11-18T23:11:06Z | yongtang | Include C logging API into part of the libtensorflow_framework.so
​ 4013197486 44993 | labeled | 2020-11-18T23:10:58Z | google-cla[bot] | Include C logging API into part of the libtensorflow_framework.so
​ 4013197418 44993 | labeled | 2020-11-18T23:10:56Z | tensorflow-butler[bot] | Include C logging API into part of the libtensorflow_framework.so
​ 4013195877 44992 | unlabeled | 2020-11-18T23:10:22Z | kokoro-team | [Cherrypick:r2.4] add per_replica support for keras
​ 4013193988 44992 | labeled | 2020-11-18T23:09:40Z | google-cla[bot] | [Cherrypick:r2.4] add per_replica support for keras
​ 4013193091 44879 | subscribed | 2020-11-18T23:09:23Z | clo-dan | TensorFlowLiteSelectTfOps: Interpreter creation fails on iOS when scheme is set to Release
​ 4013193088 44879 | mentioned | 2020-11-18T23:09:22Z | clo-dan | TensorFlowLiteSelectTfOps: Interpreter creation fails on iOS when scheme is set to Release
​ 4013157757 44967 | labeled | 2020-11-18T22:56:32Z | ymodak | Why is the first inference Extremely Slow?
​ 4013157493 44967 | subscribed | 2020-11-18T22:56:26Z | golden0080 | Why is the first inference Extremely Slow?
​ 4013157489 44967 | mentioned | 2020-11-18T22:56:26Z | golden0080 | Why is the first inference Extremely Slow?
​ 4013154888 44992 | labeled | 2020-11-18T22:55:31Z | geetachavan1 | [Cherrypick:r2.4] add per_replica support for keras
​ 4013154065 44967 | labeled | 2020-11-18T22:55:14Z | ymodak | Why is the first inference Extremely Slow?
​ 4013154028 44992 | review_requested | 2020-11-18T22:55:14Z | geetachavan1 | [Cherrypick:r2.4] add per_replica support for keras
​ 4013154025 44992 | review_requested | 2020-11-18T22:55:14Z | geetachavan1 | [Cherrypick:r2.4] add per_replica support for keras
​ 4013153972 44947 | subscribed | 2020-11-18T22:55:12Z | Oceania2018 | How to save a TensorFlow model to use in ML.NET
​ 4013153969 44947 | mentioned | 2020-11-18T22:55:12Z | Oceania2018 | How to save a TensorFlow model to use in ML.NET
​ 4013153855 44967 | unlabeled | 2020-11-18T22:55:10Z | ymodak | Why is the first inference Extremely Slow?
​ 4013136126 37552 | referenced | 2020-11-18T22:49:17Z | lgeiger | Log learning rate to TensorBoard when using schedules
​ 4013109719 44423 | closed | 2020-11-18T22:41:55Z | tensorflow-butler[bot] | Questions about quantization aware trained tflite model
​ 4013078845 44282 | subscribed | 2020-11-18T22:33:15Z | mihaimaruseac | update grpc to v1.32.0 to fix val.val issues while compiling TFS from source
​ 4013078841 44282 | mentioned | 2020-11-18T22:33:15Z | mihaimaruseac | update grpc to v1.32.0 to fix val.val issues while compiling TFS from source
​ 4013012530 44079 | subscribed | 2020-11-18T22:14:41Z | hhass | Getting errors when converting a simple convs model to INT8 TFLite
​ 4013012524 44079 | mentioned | 2020-11-18T22:14:41Z | hhass | Getting errors when converting a simple convs model to INT8 TFLite
​ 4012995841 38465 | subscribed | 2020-11-18T22:10:14Z | gowthamkpr | ValueError specifying TensorSpec names while using model.save
​ 4012995836 38465 | mentioned | 2020-11-18T22:10:14Z | gowthamkpr | ValueError specifying TensorSpec names while using model.save
​ 4012962796 44980 | subscribed | 2020-11-18T22:01:14Z | mdanatg | Changing self properties does not trigger retracing
​ 4012962789 44980 | mentioned | 2020-11-18T22:01:14Z | mdanatg | Changing self properties does not trigger retracing
